560	10
420	10
640	10
490	10
470	10
460	10
130	10
460	10
620	10
530	10
500	10
660	10
600	10
510	10
510	10
470	10
630	10
620	10
670	10
610	-10
690	10
560	-10
690	10
620	10
490	10
580	10
510	10
360	10
430	10
640	10
550	10
540	10
680	-10
550	10
660	10
610	10
500	10
330	10
730	10
580	10
510	10
470	10
590	10
440	10
390	10
430	10
360	10
390	10
670	10
490	10
360	10
460	10
360	10
550	10
730	-10
570	10
510	10
580	10
530	10
590	-10
210	10
530	10
560	10
120	10
230	10
220	10
140	10
70	10
110	10
10	10
300	-10
110	-10
620	-10
560	10
420	10
530	10
480	10
440	10
220	10
580	10
410	10
610	10
740	10
670	10
660	-10
710	-10
650	10
520	10
680	10
690	-10
650	-10
480	10
620	10
710	10
600	10
600	10
470	10
540	10
520	10
460	10
500	10
340	10
510	10
110	10
380	10
340	10
630	-10
610	10
600	10
680	10
420	10
570	10
650	10
660	10
530	10
610	10
550	-10
430	-10
620	-10
600	-10
350	10
690	-10
320	10
370	10
260	10
490	10
620	10
710	10
580	10
400	10
80	10
240	10
270	10
110	10
20	10
360	-10
60	10
250	10
380	10
700	10
560	-10
610	-10
650	-10
640	10
670	10
350	-10
270	-10
690	10
600	10
630	10
650	10
660	10
680	-10
530	-10
610	10
640	-10
490	10
600	-10
350	-10
510	-10
620	10
590	-10
530	10
650	10
500	10
690	10
710	10
620	10
680	10
590	10
470	10
470	10
560	10
300	10
470	10
710	-10
450	10
380	10
320	-10
190	10
200	10
